,0
0,succesful
1,failed
2,succesful
3,failed
4,succesful
5,failed
6,succesful
7,succesful
8,succesful
9,failed
10,failed
11,succesful
12,succesful
13,succesful
14,succesful
15,succesful
16,succesful
17,succesful
18,failed
19,failed
20,succesful
21,failed
22,failed
23,succesful
24,failed
25,failed
26,succesful
27,failed
28,succesful
29,succesful
30,failed
31,failed
32,failed
33,failed
34,succesful
35,failed
36,failed
37,succesful
38,succesful
39,succesful
40,succesful
41,succesful
42,succesful
43,failed
44,failed
45,failed
46,succesful
47,succesful
48,failed
49,failed
50,succesful
51,failed
52,succesful
53,succesful
54,failed
55,succesful
56,succesful
57,failed
58,failed
59,failed
60,succesful
61,succesful
62,succesful
63,succesful
64,succesful
65,succesful
66,failed
67,succesful
68,succesful
69,failed
70,failed
71,succesful
72,failed
73,succesful
74,failed
75,failed
76,failed
77,failed
78,succesful
79,succesful
80,succesful
81,succesful
82,succesful
83,succesful
84,failed
85,failed
86,succesful
87,failed
88,failed
89,failed
90,failed
91,succesful
92,failed
93,failed
94,succesful
95,failed
96,succesful
97,failed
98,succesful
99,failed
100,failed
101,succesful
102,succesful
103,succesful
104,succesful
105,succesful
106,succesful
107,failed
108,succesful
109,succesful
110,succesful
111,failed
112,succesful
113,succesful
114,succesful
115,succesful
116,failed
117,succesful
118,failed
119,succesful
120,failed
121,failed
122,failed
123,succesful
124,failed
125,failed
126,succesful
127,succesful
128,failed
129,failed
130,succesful
131,succesful
132,succesful
133,succesful
134,failed
135,failed
136,succesful
137,succesful
138,succesful
139,failed
140,failed
141,failed
142,succesful
143,failed
144,failed
145,succesful
146,succesful
147,succesful
148,succesful
149,succesful
150,succesful
151,failed
152,failed
153,succesful
154,succesful
155,failed
156,succesful
157,succesful
158,failed
159,succesful
160,failed
161,failed
162,failed
163,succesful
164,failed
165,succesful
166,succesful
167,failed
168,succesful
169,failed
170,failed
171,failed
172,succesful
173,succesful
174,failed
175,succesful
176,succesful
177,failed
178,failed
179,failed
180,succesful
181,succesful
182,succesful
183,failed
184,succesful
185,failed
186,succesful
187,succesful
188,failed
189,succesful
190,succesful
191,succesful
192,succesful
193,failed
194,failed
195,succesful
196,succesful
197,failed
198,failed
199,failed
200,succesful
201,failed
202,succesful
203,failed
204,succesful
205,failed
206,succesful
207,succesful
208,succesful
209,succesful
210,failed
211,failed
212,failed
213,failed
214,succesful
215,succesful
216,succesful
217,failed
218,succesful
219,succesful
220,failed
221,failed
222,failed
223,succesful
224,failed
225,failed
226,succesful
227,failed
228,failed
229,succesful
230,succesful
231,failed
232,failed
233,succesful
234,succesful
235,succesful
236,succesful
237,succesful
238,succesful
239,failed
240,succesful
241,succesful
242,failed
243,succesful
244,succesful
245,succesful
246,failed
247,succesful
248,failed
249,failed
250,failed
251,succesful
252,failed
253,succesful
254,failed
255,failed
256,succesful
257,failed
258,succesful
259,succesful
260,failed
261,succesful
262,succesful
263,failed
264,succesful
265,succesful
266,failed
267,failed
268,failed
269,succesful
270,failed
271,succesful
272,failed
273,failed
274,failed
275,succesful
276,failed
277,failed
278,failed
279,failed
280,succesful
281,succesful
282,succesful
283,failed
284,succesful
285,failed
286,failed
287,failed
288,succesful
289,succesful
290,succesful
291,succesful
292,failed
293,failed
294,failed
295,failed
296,succesful
297,succesful
298,failed
299,succesful
300,succesful
301,failed
302,succesful
303,failed
304,succesful
305,succesful
306,failed
307,failed
308,succesful
309,succesful
310,failed
311,succesful
312,succesful
313,failed
314,failed
315,succesful
316,succesful
317,succesful
318,succesful
319,succesful
320,succesful
321,succesful
322,succesful
323,failed
324,succesful
325,succesful
326,succesful
327,failed
328,succesful
329,succesful
330,failed
331,failed
332,succesful
333,succesful
334,failed
335,failed
336,succesful
337,failed
338,failed
339,failed
